number,prime_value
1,non-prime
3,prime
7,prime
15,non-prime
31,prime
63,non-prime
127,prime
255,non-prime
511,non-prime
1023,non-prime
2047,non-prime
4095,non-prime
8191,prime
16383,non-prime
32767,non-prime
65535,non-prime
131071,prime
262143,non-prime
524287,prime
1048575,non-prime
2097151,non-prime
4194303,non-prime
8388607,non-prime
16777215,non-prime
33554431,non-prime
67108863,non-prime
134217727,non-prime
268435455,non-prime
536870911,non-prime
1073741823,non-prime
2147483647,prime
4294967295,non-prime
8589934591,non-prime
17179869183,non-prime
34359738367,non-prime
68719476735,non-prime
137438953471,non-prime
274877906943,non-prime
549755813887,non-prime
1099511627775,non-prime
2199023255551,non-prime
4398046511103,non-prime
8796093022207,non-prime
17592186044415,non-prime
35184372088831,non-prime
70368744177663,non-prime
140737488355327,non-prime
281474976710655,non-prime
562949953421311,non-prime
1125899906842623,non-prime
2251799813685247,non-prime
4503599627370495,non-prime
9007199254740991,non-prime
18014398509481983,non-prime
